region;dm_method;lag;models_params;predictors_dict;predictors_list;selected_predictors;recall. mean;precision. mean;fscore. mean;recall. std;precision. std;fscore. std
LeftVentralMotor;RFE_1;6;{'C': 1, 'kernel': 'rbf'};{'speech_ts': ['Signal']};['Signal_t6', 'Signal_t5', 'Signal_t4', 'Signal_t3'];['Signal_t4'];0.7205346294046172;0.5995955510616785;0.6545253863134658;0.0;0.0;0.0
LeftDorsalMotor;RFE_1;6;{'C': 1, 'kernel': 'rbf'};{'speech_ts': ['Signal']};['Signal_t6', 'Signal_t5', 'Signal_t4', 'Signal_t3'];['Signal_t4'];0.13006134969325153;0.3706293706293706;0.19255222524977292;0.0;0.0;0.0
LeftFrontaleyeField;RFE_1;6;{'C': 1, 'kernel': 'rbf'};{'eyetracking_ts': ['x', 'y']};['x_t6', 'x_t5', 'x_t4', 'x_t3', 'y_t6', 'y_t5', 'y_t4', 'y_t3'];['y_t3'];0.38821954484605087;0.4552590266875981;0.4190751445086705;0.0;0.0;0.0
LeftDorsalMotor;RFE_2;6;{'C': 1, 'kernel': 'rbf'};{'speech_ts': ['Signal']};['Signal_t6', 'Signal_t5', 'Signal_t4', 'Signal_t3'];['Signal_t4', 'Signal_t3'];0.21717791411042944;0.4392059553349876;0.29064039408866993;0.0;0.0;0.0
LeftVentralMotor;RFE_2;6;{'C': 1, 'kernel': 'rbf'};{'speech_ts': ['Signal']};['Signal_t6', 'Signal_t5', 'Signal_t4', 'Signal_t3'];['Signal_t4', 'Signal_t3'];0.20899149453219928;0.455026455026455;0.286427976686095;0.0;0.0;0.0
LeftFrontaleyeField;RFE_2;6;{'C': 0.8, 'kernel': 'rbf'};{'eyetracking_ts': ['x', 'y']};['x_t6', 'x_t5', 'x_t4', 'x_t3', 'y_t6', 'y_t5', 'y_t4', 'y_t3'];['x_t3', 'y_t4'];0.3654618473895582;0.48663101604278075;0.41743119266055045;0.0;0.0;0.0
LeftDorsalMotor;RFE_3;6;{'C': 0.8, 'kernel': 'rbf'};{'speech_ts': ['Signal']};['Signal_t6', 'Signal_t5', 'Signal_t4', 'Signal_t3'];['Signal_t5', 'Signal_t4', 'Signal_t3'];0.6588957055214724;0.613013698630137;0.6351271437019514;0.0;0.0;0.0
LeftVentralMotor;RFE_3;6;{'C': 1, 'kernel': 'rbf'};{'speech_ts': ['Signal']};['Signal_t6', 'Signal_t5', 'Signal_t4', 'Signal_t3'];['Signal_t6', 'Signal_t4', 'Signal_t3'];0.5868772782503038;0.602996254681648;0.5948275862068966;0.0;0.0;0.0
LeftFrontaleyeField;RFE_3;6;{'C': 1, 'kernel': 'rbf'};{'eyetracking_ts': ['x', 'y']};['x_t6', 'x_t5', 'x_t4', 'x_t3', 'y_t6', 'y_t5', 'y_t4', 'y_t3'];['x_t6', 'y_t6', 'y_t5'];0.6157965194109772;0.48625792811839325;0.5434140578854105;0.0;0.0;0.0
LeftVentralMotor;RFE_4;6;{'C': 1, 'kernel': 'rbf'};{'speech_ts': ['Signal']};['Signal_t6', 'Signal_t5', 'Signal_t4', 'Signal_t3'];['Signal_t6', 'Signal_t5', 'Signal_t4', 'Signal_t3'];0.7083839611178615;0.6282327586206896;0.6659051970302683;0.0;0.0;0.0
LeftDorsalMotor;RFE_4;6;{'C': 0.7, 'kernel': 'rbf'};{'speech_ts': ['Signal']};['Signal_t6', 'Signal_t5', 'Signal_t4', 'Signal_t3'];['Signal_t6', 'Signal_t5', 'Signal_t4', 'Signal_t3'];0.6134969325153374;0.5841121495327103;0.5984440454817475;0.0;0.0;0.0
