region;dm_method;lag;models_params;predictors_dict;predictors_list;selected_predictors;recall. mean;precision. mean;fscore. mean;recall. std;precision. std;fscore. std
LeftVentralMotor;RFE_1;6;{'max_depth': 10, 'n_estimators': 10, 'random_state': 5, 'bootstrap': True, 'max_features': 'auto'};{'speech_ts': ['Signal']};['Signal_t6', 'Signal_t5', 'Signal_t4', 'Signal_t3'];['Signal_t4'];0.6953883495145631;0.5956340956340956;0.6416573348264277;0.0;0.0;0.0
LeftDorsalMotor;RFE_1;6;{'max_depth': 10, 'n_estimators': 50, 'random_state': 5, 'bootstrap': True, 'max_features': 'auto'};{'speech_ts': ['Signal']};['Signal_t6', 'Signal_t5', 'Signal_t4', 'Signal_t3'];['Signal_t4'];0.1419828641370869;0.4793388429752066;0.21907459867799814;0.0;0.0;0.0
LeftFrontaleyeField;RFE_1;6;{'n_estimators': 10, 'bootstrap': True, 'max_depth': 10, 'random_state': 5, 'max_features': 'auto'};{'eyetracking_ts': ['x', 'y']};['x_t6', 'x_t5', 'x_t4', 'x_t3', 'y_t6', 'y_t5', 'y_t4', 'y_t3'];['y_t3'];0.3516042780748663;0.515686274509804;0.41812400635930047;0.0;0.0;0.0
LeftVentralMotor;RFE_2;6;{'max_depth': 10, 'n_estimators': 100, 'random_state': 5, 'bootstrap': True, 'max_features': 'auto'};{'speech_ts': ['Signal']};['Signal_t6', 'Signal_t5', 'Signal_t4', 'Signal_t3'];['Signal_t4', 'Signal_t3'];0.691747572815534;0.6038135593220338;0.6447963800904978;0.0;0.0;0.0
LeftDorsalMotor;RFE_2;6;{'max_depth': 10, 'n_estimators': 50, 'random_state': 5, 'bootstrap': True, 'max_features': 'auto'};{'speech_ts': ['Signal']};['Signal_t6', 'Signal_t5', 'Signal_t4', 'Signal_t3'];['Signal_t4', 'Signal_t3'];0.7233782129742962;0.6055327868852459;0.6592303402119353;0.0;0.0;0.0
LeftFrontaleyeField;RFE_2;6;{'n_estimators': 100, 'bootstrap': True, 'max_depth': 10, 'random_state': 5, 'max_features': 'auto'};{'eyetracking_ts': ['x', 'y']};['x_t6', 'x_t5', 'x_t4', 'x_t3', 'y_t6', 'y_t5', 'y_t4', 'y_t3'];['x_t3', 'y_t6'];0.516042780748663;0.4929757343550447;0.504245591116917;0.0;0.0;0.0
LeftVentralMotor;RFE_3;6;{'max_depth': 10, 'n_estimators': 50, 'random_state': 5, 'bootstrap': True, 'max_features': 'auto'};{'speech_ts': ['Signal']};['Signal_t6', 'Signal_t5', 'Signal_t4', 'Signal_t3'];['Signal_t6', 'Signal_t4', 'Signal_t3'];0.6650485436893204;0.6409356725146199;0.6527695056581299;0.0;0.0;0.0
LeftDorsalMotor;RFE_3;6;{'max_depth': 50, 'n_estimators': 10, 'random_state': 5, 'bootstrap': True, 'max_features': 'auto'};{'speech_ts': ['Signal']};['Signal_t6', 'Signal_t5', 'Signal_t4', 'Signal_t3'];['Signal_t6', 'Signal_t4', 'Signal_t3'];0.8127294981640147;0.6041856232939036;0.6931106471816285;0.0;0.0;0.0
LeftFrontaleyeField;RFE_3;6;{'n_estimators': 10, 'bootstrap': True, 'max_depth': 10, 'random_state': 5, 'max_features': 'auto'};{'eyetracking_ts': ['x', 'y']};['x_t6', 'x_t5', 'x_t4', 'x_t3', 'y_t6', 'y_t5', 'y_t4', 'y_t3'];['y_t6', 'y_t5', 'y_t3'];0.5280748663101604;0.47305389221556887;0.49905243209096645;0.0;0.0;0.0
LeftVentralMotor;RFE_4;6;{'max_depth': 50, 'n_estimators': 10, 'random_state': 5, 'bootstrap': True, 'max_features': 'auto'};{'speech_ts': ['Signal']};['Signal_t6', 'Signal_t5', 'Signal_t4', 'Signal_t3'];['Signal_t6', 'Signal_t5', 'Signal_t4', 'Signal_t3'];0.32402912621359226;0.5383064516129032;0.4045454545454546;0.0;0.0;0.0
